SMILES_Solute,Temperature_K,Solvent,SMILES_Solvent,Solubility(mole_fraction),Solubility(mol/L),LogS(mol/L),Compound_Name,CAS,PubChem_CID,FDA_Approved,Source
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,298.15,ethanol,CCO,1.3e-05,0.0002216397738044,-3.654352301733323,Lornoxicam,70374-39-9,54690031,No,10.1007/s10953-012-9876-6
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,288.2,ethanol,CCO,0.0026309,0.0454546938177659,-1.342421263291304,Isoimperatorin,482-45-1,68081,No,10.1007/s10953-012-9917-1
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,293.2,ethanol,CCO,0.0037742,0.0649232972302499,-1.1875994319674923,Isoimperatorin,482-45-1,68081,No,10.1007/s10953-012-9917-1
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,298.2,ethanol,CCO,0.0053133999999999,0.0910352360593422,-1.0407904773030656,Isoimperatorin,482-45-1,68081,No,10.1007/s10953-012-9917-1
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,303.2,ethanol,CCO,0.00733,0.1251407467435507,-0.9026012578159384,Isoimperatorin,482-45-1,68081,No,10.1007/s10953-012-9917-1
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,308.2,ethanol,CCO,0.0099873999999999,0.170009884144437,-0.7695258285946608,Isoimperatorin,482-45-1,68081,No,10.1007/s10953-012-9917-1
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,313.2,ethanol,CCO,0.0133788,0.2272365557740119,-0.6435218019492455,Isoimperatorin,482-45-1,68081,No,10.1007/s10953-012-9917-1
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,318.2,ethanol,CCO,0.0177582,0.3012500517013036,-0.5210728698823401,Isoimperatorin,482-45-1,68081,No,10.1007/s10953-012-9917-1
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,323.2,ethanol,CCO,0.0230031999999999,0.3900881550016955,-0.4088372368081853,Isoimperatorin,482-45-1,68081,No,10.1007/s10953-012-9917-1
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,328.2,ethanol,CCO,0.0300498,0.5103482345990175,-0.2921333832056332,Isoimperatorin,482-45-1,68081,No,10.1007/s10953-012-9917-1
O=C(O)CCC(=O)O,278.15,ethanol,CCO,0.0354,0.6393878097913267,-0.1942356479999381,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
O=C(O)CCC(=O)O,283.15,ethanol,CCO,0.0401,0.7232604894458318,-0.1407052590620623,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
O=C(O)CCC(=O)O,288.15,ethanol,CCO,0.0422,0.7586933670689732,-0.1199337127699065,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
O=C(O)CCC(=O)O,293.15,ethanol,CCO,0.0438,0.7850480220304119,-0.1051037762930602,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
O=C(O)CCC(=O)O,298.15,ethanol,CCO,0.0525,0.9446670879306828,-0.0247212151392757,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
O=C(O)CCC(=O)O,303.15,ethanol,CCO,0.0633,1.1454861098422038,0.0589898273050251,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
O=C(O)CCC(=O)O,308.15,ethanol,CCO,0.0753,1.3723688755590109,0.1374708599770727,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
O=C(O)CCC(=O)O,313.15,ethanol,CCO,0.096,1.7799387874709671,0.2504050670725475,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
O=C(O)CCC(=O)O,318.15,ethanol,CCO,0.1159,2.1844218618689255,0.3393365143392096,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
O=C(O)CCC(=O)O,323.15,ethanol,CCO,0.1372,2.6343504637824657,0.420673551325095,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
O=C(O)CCC(=O)O,328.15,ethanol,CCO,0.1638,3.225579774530876,0.5086077872656063,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
O=C(O)CCC(=O)O,333.15,ethanol,CCO,0.1967,4.009770231991736,0.6031194873740349,Succinic acid,110-15-6,1110,No,10.1007/s10953-012-9951-z
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,288.15,ethanol,CCO,3.09e-05,0.0005321089555705,-3.2739994316933276,(+)-usnic acid,7562-61-0,442614,No,10.1007/s10953-013-0010-1
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,293.15,ethanol,CCO,4.23e-05,0.0007249859513703,-3.139670409017212,(+)-usnic acid,7562-61-0,442614,No,10.1007/s10953-013-0010-1
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,298.15,ethanol,CCO,5.3e-05,0.0009036444548353,-3.044002412086805,(+)-usnic acid,7562-61-0,442614,No,10.1007/s10953-013-0010-1
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,303.15,ethanol,CCO,6.8e-05,0.0011527233308115,-2.938274916747131,(+)-usnic acid,7562-61-0,442614,No,10.1007/s10953-013-0010-1
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,308.15,ethanol,CCO,9.3e-05,0.0015674730449577,-2.8047999187758688,(+)-usnic acid,7562-61-0,442614,No,10.1007/s10953-013-0010-1
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,313.15,ethanol,CCO,0.0001139999999999,0.001910982140314,-2.718743371761988,(+)-usnic acid,7562-61-0,442614,No,10.1007/s10953-013-0010-1
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,318.15,ethanol,CCO,0.000121,0.0020164729107155,-2.695407607926529,(+)-usnic acid,7562-61-0,442614,No,10.1007/s10953-013-0010-1
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,323.15,ethanol,CCO,0.000148,0.0024521982158783,-2.610444427879989,(+)-usnic acid,7562-61-0,442614,No,10.1007/s10953-013-0010-1
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,328.15,ethanol,CCO,0.0002029999999999,0.0033433994116369,-2.475811738301726,(+)-usnic acid,7562-61-0,442614,No,10.1007/s10953-013-0010-1
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,333.15,ethanol,CCO,0.000234,0.0038327490849533,-2.4164896113710195,(+)-usnic acid,7562-61-0,442614,No,10.1007/s10953-013-0010-1
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,338.15,ethanol,CCO,0.000274,0.0044631308722007,-2.3503603781737423,(+)-usnic acid,7562-61-0,442614,No,10.1007/s10953-013-0010-1
CC(=O)NCC(=O)O,278.15,ethanol,CCO,0.002225,0.0388513169470854,-1.4105942552888466,N-acetylglycine,543-24-8,10972,No,10.1007/s10953-013-0074-y
CC(=O)NCC(=O)O,282.15,ethanol,CCO,0.002684,0.0466834191446994,-1.3308373432587142,N-acetylglycine,543-24-8,10972,No,10.1007/s10953-013-0074-y
CC(=O)NCC(=O)O,286.15,ethanol,CCO,0.0031709999999999,0.0549395104620072,-1.2601152146751244,N-acetylglycine,543-24-8,10972,No,10.1007/s10953-013-0074-y
CC(=O)NCC(=O)O,290.15,ethanol,CCO,0.003658,0.0631295021532589,-1.1997676355569324,N-acetylglycine,543-24-8,10972,No,10.1007/s10953-013-0074-y
CC(=O)NCC(=O)O,293.15,ethanol,CCO,0.004075,0.0701248316011452,-1.1541281686560132,N-acetylglycine,543-24-8,10972,No,10.1007/s10953-013-0074-y
CC(=O)NCC(=O)O,297.15,ethanol,CCO,0.004781,0.0819654087076909,-1.0863693912371546,N-acetylglycine,543-24-8,10972,No,10.1007/s10953-013-0074-y
CC(=O)NCC(=O)O,302.15,ethanol,CCO,0.005646,0.0963406551505109,-1.0161904046555448,N-acetylglycine,543-24-8,10972,No,10.1007/s10953-013-0074-y
CC(=O)NCC(=O)O,307.15,ethanol,CCO,0.006785,0.1152608936667334,-0.9383180174717684,N-acetylglycine,543-24-8,10972,No,10.1007/s10953-013-0074-y
CC(=O)NCC(=O)O,311.15,ethanol,CCO,0.007641,0.1293300476930415,-0.8883005622716446,N-acetylglycine,543-24-8,10972,No,10.1007/s10953-013-0074-y
CC(=O)NCC(=O)O,315.15,ethanol,CCO,0.009003,0.1519031395543379,-0.818433249988207,N-acetylglycine,543-24-8,10972,No,10.1007/s10953-013-0074-y
CC(=O)NCC(=O)O,319.15,ethanol,CCO,0.010426,0.1753662966011803,-0.7560538693883934,N-acetylglycine,543-24-8,10972,No,10.1007/s10953-013-0074-y
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,288.2,ethanol,CCO,2.2e-05,0.0003791076430416,-3.421237459843318,Icariin,489-32-7,5318997,No,10.1007/s10953-013-0076-9
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,293.2,ethanol,CCO,2.6e-05,0.000445572195541,-3.3510819176993363,Icariin,489-32-7,5318997,No,10.1007/s10953-013-0076-9
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,298.2,ethanol,CCO,2.9999999999999997e-05,0.0005112785376413,-3.2913424376266365,Icariin,489-32-7,5318997,No,10.1007/s10953-013-0076-9
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,303.2,ethanol,CCO,3.3e-05,0.0005592782579979,-3.252372063587964,Icariin,489-32-7,5318997,No,10.1007/s10953-013-0076-9
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,308.2,ethanol,CCO,3.5e-05,0.0005898555829636,-3.2292543056448,Icariin,489-32-7,5318997,No,10.1007/s10953-013-0076-9
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,313.2,ethanol,CCO,5.7999999999999994e-05,0.0009719964147951,-3.0123353369642287,Icariin,489-32-7,5318997,No,10.1007/s10953-013-0076-9
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,318.2,ethanol,CCO,7.4e-05,0.001233134526862,-2.908989542149679,Icariin,489-32-7,5318997,No,10.1007/s10953-013-0076-9
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,323.2,ethanol,CCO,0.000104,0.0017232415489738,-2.763653842671607,Icariin,489-32-7,5318997,No,10.1007/s10953-013-0076-9
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,328.2,ethanol,CCO,0.000122,0.0020099594031853,-2.69681271429625,Icariin,489-32-7,5318997,No,10.1007/s10953-013-0076-9
COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,280.35,ethanol,CCO,0.0144,0.2539385819032341,-0.5952713100175127,Omeprazole sulfide,73590-85-9,155794,No,10.1007/s10953-013-0110-y
COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,284.35,ethanol,CCO,0.0189,0.3333615023362568,-0.4770845553427267,Omeprazole sulfide,73590-85-9,155794,No,10.1007/s10953-013-0110-y
COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,288.15,ethanol,CCO,0.0248,0.437911809391167,-0.3586133428091008,Omeprazole sulfide,73590-85-9,155794,No,10.1007/s10953-013-0110-y
COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,292.25,ethanol,CCO,0.0323,0.5726003995177293,-0.2421483532961094,Omeprazole sulfide,73590-85-9,155794,No,10.1007/s10953-013-0110-y
COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,296.65,ethanol,CCO,0.0412,0.7335691376283245,-0.1345589483844679,Omeprazole sulfide,73590-85-9,155794,No,10.1007/s10953-013-0110-y
COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,300.25,ethanol,CCO,0.0511,0.9156546087690056,-0.0382683143157338,Omeprazole sulfide,73590-85-9,155794,No,10.1007/s10953-013-0110-y
COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,303.15,ethanol,CCO,0.0606,1.0934746162268387,0.0388087058367852,Omeprazole sulfide,73590-85-9,155794,No,10.1007/s10953-013-0110-y
COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,307.65,ethanol,CCO,0.0775,1.416662967336944,0.1512665412596493,Omeprazole sulfide,73590-85-9,155794,No,10.1007/s10953-013-0110-y
COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,311.15,ethanol,CCO,0.0946,1.7549659597634355,0.244268697080888,Omeprazole sulfide,73590-85-9,155794,No,10.1007/s10953-013-0110-y
COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,315.15,ethanol,CCO,0.1151,2.1748683247754412,0.3374329681621396,Omeprazole sulfide,73590-85-9,155794,No,10.1007/s10953-013-0110-y
COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,319.65,ethanol,CCO,0.1415,2.7418601495878128,0.4380452995376567,Omeprazole sulfide,73590-85-9,155794,No,10.1007/s10953-013-0110-y
O=C(O)[C@H](O)[C@@H](O)C(=O)O,281.15,ethanol,CCO,0.032078,0.5755121328041922,-0.2399455162490144,L-tartaric acid,87-69-4,444305,Yes,10.1007/s10953-013-9960-6
O=C(O)[C@H](O)[C@@H](O)C(=O)O,285.15,ethanol,CCO,0.038139,0.6855559541418136,-0.1639570929046473,L-tartaric acid,87-69-4,444305,Yes,10.1007/s10953-013-9960-6
O=C(O)[C@H](O)[C@@H](O)C(=O)O,289.15,ethanol,CCO,0.045882,0.8277823633052714,-0.0820838308958721,L-tartaric acid,87-69-4,444305,Yes,10.1007/s10953-013-9960-6
O=C(O)[C@H](O)[C@@H](O)C(=O)O,293.15,ethanol,CCO,0.053068,0.960472157643074,-0.0175152200341812,L-tartaric acid,87-69-4,444305,Yes,10.1007/s10953-013-9960-6
O=C(O)[C@H](O)[C@@H](O)C(=O)O,297.15,ethanol,CCO,0.061382,1.115790553131634,0.0475826801249234,L-tartaric acid,87-69-4,444305,Yes,10.1007/s10953-013-9960-6
O=C(O)[C@H](O)[C@@H](O)C(=O)O,301.15,ethanol,CCO,0.071224,1.3025978547984551,0.1148103586146945,L-tartaric acid,87-69-4,444305,Yes,10.1007/s10953-013-9960-6
Clc1ccc(OCCCBr)cc1,273.15,ethanol,CCO,0.021857,0.3914301230371875,-0.4073457556697553,1-(3-bromopropoxy)-4-chlorobenzene,27983-04-6,223534,No,10.1007/s10953-013-9962-4
Clc1ccc(OCCCBr)cc1,278.15,ethanol,CCO,0.028054,0.5028761091073705,-0.2985389965709588,1-(3-bromopropoxy)-4-chlorobenzene,27983-04-6,223534,No,10.1007/s10953-013-9962-4
Clc1ccc(OCCCBr)cc1,283.15,ethanol,CCO,0.036621,0.6581265086383714,-0.1816906159261739,1-(3-bromopropoxy)-4-chlorobenzene,27983-04-6,223534,No,10.1007/s10953-013-9962-4
Clc1ccc(OCCCBr)cc1,288.15,ethanol,CCO,0.048813,0.8836865861035246,-0.0537017373177556,1-(3-bromopropoxy)-4-chlorobenzene,27983-04-6,223534,No,10.1007/s10953-013-9962-4
Clc1ccc(OCCCBr)cc1,293.15,ethanol,CCO,0.065783,1.20680405846893,0.0816367620330282,1-(3-bromopropoxy)-4-chlorobenzene,27983-04-6,223534,No,10.1007/s10953-013-9962-4
Clc1ccc(OCCCBr)cc1,298.15,ethanol,CCO,0.093282,1.7539786863599127,0.2440243116910713,1-(3-bromopropoxy)-4-chlorobenzene,27983-04-6,223534,No,10.1007/s10953-013-9962-4
Clc1ccc(OCCCBr)cc1,303.15,ethanol,CCO,0.14194,2.8039727028210404,0.4477737813802491,1-(3-bromopropoxy)-4-chlorobenzene,27983-04-6,223534,No,10.1007/s10953-013-9962-4
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,278.15,ethanol,CCO,0.0002909999999999,0.0050713984624184,-2.294872265367907,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,283.15,ethanol,CCO,0.000379,0.0065641757255281,-2.182819801231726,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,288.15,ethanol,CCO,0.000484,0.008338429861135,-2.0789157199668744,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,293.15,ethanol,CCO,0.000609,0.0104436596742959,-1.9811472888965365,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,298.15,ethanol,CCO,0.000768,0.0131036892818522,-1.882606413567241,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,303.15,ethanol,CCO,0.0009509999999999,0.0161354233654059,-1.792219634979786,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,308.15,ethanol,CCO,0.001176,0.0198424408338441,-1.7024049059989328,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,313.15,ethanol,CCO,0.001446,0.0242716332813232,-1.6149009982375064,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,318.15,ethanol,CCO,0.001767,0.0294957263634487,-1.5302409044023302,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,323.15,ethanol,CCO,0.002146,0.03562806955012,-1.448207708562352,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,328.15,ethanol,CCO,0.002593,0.0428089088165003,-1.3684658420328315,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,333.15,ethanol,CCO,0.003081,0.0506086461574331,-1.2957752804390985,Donepezil hydrochloride,120011-70-3,5741,Yes,10.1007/s10953-013-9986-9
COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,270.15,ethanol,CCO,1e-05,0.0001757433434388,-3.755121115597051,Coenzyme Q10,303-98-0,5281915,No,10.1007/s10953-013-9998-5
COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,280.15,ethanol,CCO,1.1e-05,0.0001912313698855,-3.7184408638868622,Coenzyme Q10,303-98-0,5281915,No,10.1007/s10953-013-9998-5
COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,290.15,ethanol,CCO,1.6e-05,0.0002751211845934,-3.560475967233704,Coenzyme Q10,303-98-0,5281915,No,10.1007/s10953-013-9998-5
COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,300.15,ethanol,CCO,6.1e-05,0.0010373755433969,-2.9840639949128307,Coenzyme Q10,303-98-0,5281915,No,10.1007/s10953-013-9998-5
COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,310.15,ethanol,CCO,0.0002,0.0033637605983736,-2.4731749208720535,Coenzyme Q10,303-98-0,5281915,No,10.1007/s10953-013-9998-5
